name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
Switzerland,CHE,CHF,6.3,1.2475,49520.42,66686.71,2005-06-01,2.58,2.441860465116279,0.957403178449923
Chile,CHL,CLP,1500.0,592.45,4824.87,3335903.18,2005-06-01,2.58,581.3953488372093,-0.018659213710508427
China,CHN,CNY,10.5,8.2764,1282.21,10612.85,2005-06-01,2.58,4.069767441860465,-0.508268396662744
Colombia,COL,COP,6500.0,2327.7,2313.54,6657297.98,2005-06-01,2.58,2519.3798449612405,0.08234731492943277
Costa Rica,CRI,CRC,1130.0,475.3,4227.82,1684992.07,2005-06-01,2.58,437.984496124031,-0.0785093706626741
Czech Republic,CZE,CZK,56.42,24.5409,9823.29,277008.66,2005-06-01,2.58,21.868217054263567,-0.10890729132739357
Denmark,DNK,DKK,27.75,6.0647,40512.05,266880.12,2005-06-01,2.58,10.755813953488373,0.773511295445508
Egypt,EGY,EGP,9.0,5.8,1252.4,6455.75,2005-06-01,2.58,3.488372093023256,-0.39855653568564553
Euro area,EUZ,EUR,2.92,0.814929509,28437.2453137734,25146.1972290139,2005-06-01,2.58,1.1317829457364341,0.3888108520272445
Britain,GBR,GBP,1.88,0.546448087,34516.91,21122.37,2005-06-01,2.58,0.7286821705426356,0.33348837314647894
Hong Kong,HKG,HKD,12.0,7.7807,23856.48,185782.35,2005-06-01,2.58,4.651162790697675,-0.4022179507373791
Hungary,HUN,HUF,530.0,203.643,8409.1,1886216.82,2005-06-01,2.58,205.42635658914728,0.008757269285697394
Indonesia,IDN,IDR,14600.0,9545.0,1186.85,10176465.26,2005-06-01,2.58,5658.914728682171,-0.4071330823800764
Japan,JPN,JPY,250.0,106.715,35410.23,4105230.5,2005-06-01,2.58,96.89922480620154,-0.09198121345451397
South Korea,KOR,KRW,2500.0,1005.5,14672.42,17484325.78,2005-06-01,2.58,968.9922480620155,-0.03630805762106862
Sri Lanka,LKA,LKR,175.0,99.945,1162.71,112150.41,2005-06-01,2.58,67.82945736434108,-0.32133215904406337
Mexico,MEX,MXN,28.0,10.8675,7440.44,80275.0,2005-06-01,2.58,10.852713178294573,-0.0013606461196619586
Malaysia,MYS,MYR,5.25,3.8,4740.32,18013.23,2005-06-01,2.58,2.0348837209302326,-0.46450428396572824
Norway,NOR,NOK,39.0,6.4326,50161.51,355154.38,2005-06-01,2.58,15.116279069767442,1.3499485542031906
New Zealand,NZL,NZD,4.45,1.4023,20461.05,35140.4,2005-06-01,2.58,1.7248062015503876,0.22998374210253686
Pakistan,PAK,PKR,130.0,59.62,741.252,43362.91,2005-06-01,2.58,50.3875968992248,-0.15485412782246216
Peru,PER,PEN,8.99,3.2546,2159.74,7512.4,2005-06-01,2.58,3.4844961240310077,0.07063728999908062
Philippines,PHL,PHP,80.0,54.55,1062.62,57597.5,2005-06-01,2.58,31.007751937984494,-0.43157191681055
Poland,POL,PLN,6.5,3.3096,5699.56,22166.0,2005-06-01,2.58,2.5193798449612403,-0.2387660608649866
Russia,RUS,RUB,42.0,28.4055,3197.57,98051.26,2005-06-01,2.58,16.27906976744186,-0.4269043048901846
Saudi Arabia,SAU,SAR,9.0,3.7501,11027.9,41354.63,2005-06-01,2.58,3.488372093023256,-0.0697922474005345
Singapore,SGP,SGD,3.6,1.6607,23730.38,41342.67,2005-06-01,2.58,1.3953488372093024,-0.15978271981134323
Sweden,SWE,SEK,31.0,7.4402,37249.26,301208.82,2005-06-01,2.58,12.015503875968992,0.6149436676391753
Thailand,THA,THB,60.0,40.53,2359.12,97867.02,2005-06-01,2.58,23.25581395348837,-0.4262074030720856
Turkey,TUR,TRY,4.0,1.369,4684.7,7027.7,2005-06-01,2.58,1.5503875968992247,0.13249641848007646
